CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
BCM,2020,2,0.08060477429065296,2450270520620,288022656883,-0.5077628836814676,21127338536,-128114443291,2450270520620,-23532604617,2426737916003,-1799479911726,627258004277,-132556344763,132142422209,-161394871483,-93340421720,393236127056,17372898891,0,-41435449064,-24062550173,369173576883,-29193192512,-21478256278,318502128093,30479471210,288022656883
BCM,2020,1,-0.3109219924052952,1323142175979,310677547481,-0.48017575809464874,3783272095,-146595918686,1323142175979,-93779964932,1229362211047,-664906826826,564455384221,-146614384329,186470740790,-164316192105,-81769305748,362009514924,7969151132,0,-5589076131,2380075001,364389589925,-59650329462,27487344526,332226604989,21549057508,310677547481
BCM,2019,4,0.20690473895955708,3655601294750,855865917841,-0.007391772852804667,61088055863,-124177158014,3655601294750,-131304319709,3524296975041,-2121218557972,1403078417069,-140260283191,473721981474,-271607533433,-511871061942,1014149575840,41651227189,0,-21981591924,19669635265,1033819211105,-109082198186,857197173,925594210092,69728292251,855865917841
BCM,2019,3,-0.2950744257762439,1493083865826,491482177930,0.2454456095868859,26905877406,-147339354832,1493083865826,-101909948345,1391173917481,-761908723727,629265193754,-157865454693,330869975808,-180278055874,-104052938134,544844598267,24878121907,0,-7339415332,17538706575,562383304842,-42634409972,6398576591,526147471461,34665293531,491482177930
BCM,2019,2,0.5067815966440136,2267499254969,585129904541,0.2156601270575721,-74812984478,-174857000181,2267499254969,-223001217004,2044498037965,-1073652622880,970845415085,-170185534648,249979627698,-175904551287,-88364261606,711557710764,19056239915,0,-6226932528,12829307387,724387018151,-115787061175,-8741844,608591215132,23461310591,585129904541
BCM,2019,1,-0.027000037772358543,1920163118538,597658828573,0.30812934104704676,465999431795,-180662614107,1920163118538,-581874758366,1338288360172,-846450158516,491838201656,-193250906352,182542402104,-167942834742,-83026432944,696159861517,15310441353,0,-11016167091,4294274262,700454135779,-87271482109,12697839,613195351509,15536522936,597658828573
BCM,2018,4,,3028906239859,862239395598,,24127774612,-107098989746,3028906239859,-1626739685094,1402166554765,-162777733645,1239388821120,-133407068646,397143532705,-268821251697,-219526451661,1038905356433,37202608016,0,-15013100628,22189507388,1061094863821,-144680057668,23688060964,940102867117,77863471519,862239395598
BCM,2018,3,,2118073056819,394623558144,,29018958106,-154987546181,2118073056819,-36941686517,2081131370302,-1507672598290,573458772012,-165514905102,247537441482,-129744749479,-98731874432,456023642587,17041839148,0,-29524166253,-12482327105,443541315482,-25809131555,4132433875,421864617802,27241059658,394623558144
BCM,2018,2,,1504862589256,481326886946,,34524223243,-176587278220,1504862589256,-386412929307,1118449659949,-424083500267,694366159682,-169440758102,270936873148,-163815645812,-97169955075,569400897084,403004221703,0,-391281634269,11722587434,581123484518,-105339822560,23697273645,499480935603,18154048657,481326886946
BCM,2018,1,,1973446241603,456880531473,,9333288603,-168365263993,1973446241603,-66774937416,1906671304187,-1248900415964,657770888223,-178573972106,203648181953,-110281687703,-85707489510,496189209460,9889036724,0,-2454037132,7434999592,503624209052,-20002508301,-19993187,483601707564,26721176091,456880531473
